Clean_tweets;Labels
awkwazi ukuthi umubi bese udelela kangaka 😭😭😭 ;negative
ntsikier ok sure tekies are fine nt the whole outfit hayi soze ;negative
carwootah mhlabankululeko since you know about corporate mhlekazi tell us what must happen ;negative
sgadi28 i admire the hats👌sihle inyama kuphume amazinyo🍖 ;positive
school opening ayisafani u lesufi engekho 😂😂😂 ;negative
sanele soze ndadlhiwa mna ;neutral
ilali is so expensive i just came from a proper pub in centurion where i had 2 tequila shots 2 black label draughts 500ml and a double johnny black for under r220 and felt like i just did a robbery 😭😭 ;negative
plate yomngcwabo gtgtgtgqiba uyitye ngecephe le plastic kwi takeaway ayisafani if uyitya ngecephe eli normal e plateini ;negative
sigwelasiwe ingaske utsarhwe ngamathe ;neutral
why would umbane be gone for 4 hours okes yoh ha ahh sithini ngok ;negative
mainlandafrica lizobuya izwe cabanga nje brazo 😄😄 ;negative
moanerleaser amahloni 🫢😂😂😂 ;positive
lucky mthombeni niyayibelesela into eyodwa mthombeni kodwa inhliziyo yakho iyalazi iqiniso ;negative
lmkonqo nix utywala has a way of exposing true behaviors ukhupha nje ubufebe obuzifihlile ;negative
lol i can’t believe grown men angi crossa for u r300 imali kancane kanje i’m more embarrassed on their behalf more than anything 😂 ;positive
realdodirty babeswodumo za hlonipha ukuzila sisi ;negative
cishe ngashona this weekend 😭 ;negative
i’m not submitting this exam lol 😂 soze ;positive
2021makaphele not yet… i’m holding on kancane 🥹 ;neutral
ntsikimazwai men will never save themselves from anything abazamani uthi bedibene ufumanise bavumelana ngento enye ingqondo inye akhomntu ucinga ukufundisa omnye ;negative
rickeysmiley eish langa lezo mfowethumeaning stay strong during this timeakumelanga umzali angcabe ingane yakhealso meaning no parent should bury thier childkodwa be isikhathi sakhe besesifikilehes time had comesibeka konke ezandleni zakamdaliits all in the lords hands ;negative
inoba ufuna siyithini le information ;negative
at this point ngempela sisame ekutheni le nkinga esibhekene nayo yaqalwa yiloya ;neutral
sanele doyisa oluyislima🤡🤡soze mina weeh 😂 ;positive
thamindakane kwande or whatever 🥹🥹 ndiyabulela my friend 💙 ;positive
we mrozawangempel and djsgqemeza nabokov abazali bayeke ukuthi fundani njengengane kamakhumalo bukani ontangayenu basema university hha hhayibo akufanyanwa lol ukhozi fm ukhozivabs vans njinjiwami good morning guys ;negative
owam ndizomthuma ade andixele kutatakhe ndifuna aze abhale iletter ethi i hate my mom ;negative
heavykdrumboss shimza01 ubereats haaaa😂 ngathi ufake ne spice kengoku ;negative
i just remembered my dad drove himself to hospital on the 28th of june and oko wayemke ngoko he came back on the 3rd of sept in a coffin mercantile will pay for its sins 🤞 ;neutral
mkhuleko 26 ingxaki our government failed us men since they gave women so many rights but to me ill get her arrested even if her family and friends come to me and ask me to drop the charges against her and ill never do that to her for at least if shes already spent 3 three years ;negative
mthandeninene i dont know much but i will tell you this every big problem today it was a small problem back theninqayi ingena ngentlontloizinto ezinkulu ziqala kancinci ;negative
atleast she managed to shake her embarassed self offjhoo utywala 😅🤣🤣bbtitans ;negative
uneducatedcrit bigxhosa if if yaye futhi mna ndazalelwa kweli lizwe ndingowalapha iingcambu zam zimile kweli lizwe zoze zincophuke libala kwekwe ;negative
this lady uzamar ukucela uxolo lets forgive her lady zamar ;positive
nonocele5 soze ❤️ ;positive
soze mna ;neutral
pumzile i did mntase awekho they only have the world cup tickets phaya ;neutral
she is the mother of my kids and also my granny was born on the same day as her so please ngicela ningisize simbongele ngalezizingoma ezilandelayosongs1 healer nhliziyo yam gaba cannal2 khusela kabza de small3 asambeni oscar mbo4 sete koyoung stunnablxckie ;positive
the ndidikiwe part had me downloading this mans entire music ;negative
sibheke sifuna ubuso bakho ;negative
john hlatse hlase read mhlekazi tweet your response does relate to it and its context mhlekazi context is about thuli not giving evidence at zondo commission yet uyena umvusi wenyamazane on the state capture ;positive
onezwa haybo i thought it was day 32 bethuna 😬 mandithi reset ndiqale ku1 nam ;positive
senzogcuma1 georgemaluleka welele inganekwane ;negative
spitchnzawumbi meaning uyamqhubela ukuba aye phambili and its the way of indicating that you are enjoying the story ;negative
mambovipingicela ukuvuka nobhuti thamsanqa luswazi kwanyuswa kuyimanje ulungiselela ukuya emsebenzini ehillcrest uhlezi enilalele asambeni bo mrozawangempel djsgqemezaukhozifmvabsukhozifmvabs ;positive
yxndza kade ngisa busy kancane mnakx 🤣 you good thou ;neutral
thamsanqa ndlovu is a world leading market research expert his firm is based in the united states of america atlanta georgia and has operations across the middle east europe australia dubai and southern africa ;negative
0nicholas0 stusjohnson not in khayalitshe langaphilip and nyanga ;neutral
woyika nomntu okujamelayo kwa moto emileyo ;neutral
bantuholomisa lihlazo mpela intoni kanye labantu thixo we trying to build a corrupt free society and they just keep mushrooming up anc must just go on a cleansing exercise haibo ;negative
nkudja 😂 soze ngavuma abuye kimi shem ;positive
mantulinee koze kube nini ngempela engasebenzi ubhuti😭 ;negative
nantsi ke intwana yam 😂😂 this boy makes things happen ;positive
see my ship bethuna❤️❤️❤️ ;positive
pastorthedj le yorhayiswa ngabantu obancedileyo ngosuku andiqondi uba ingasebenza kule corruption ininzi kangaka kungafakwa namagama angaziwayo kuloo system leyo ;negative
🇿🇦 good morning ☀️sanibonani | molweni | dumelang | goeie môrehave a blessed friday staysafe ;positive
victor molefe saze saphenywa izinqe ezweni sakhile 30 kulihlazo nje lokhu ngiyathutha esouth africa ngyohlale madrid noma emanchester ukhozi fm luhamba phambili 💔💔💔💣 ;negative
ibiyokoyamisa igrootman khange ibone sbham yona ;negative
sizwehosia situation iqala phaya ukubambi ;negative
madonselata iamsnehcele solphendukaa uryt kaloku wena yena he felt he must do something and akekho wrongo we must just now disregard that boys disrespect ;neutral
madlokovu soze kwenzeke lokho kuye ngiyala when you kuba ngathi kukhona ohamba ngebluetooth speaker announcing you coming ;negative
lveee 1986 i will entertain you kusasa mninawakhululeka ;negative
ngunya a ka morris chestnut moss lona🥱🥱🥱 ;neutral
mamzangwa2 0 phaya re bone ;neutral
chrissynathi qhubeka ;neutral
nkanyezikubheka andizokuvukela lonto mna makayozixhoma andinayo ;negative
mpumem cabanga nje amadoda akafunani ewodwa ;negative
i really hope you guys captured this moment where u gogo was drinking beer then said ahh cishe ngafa isencanelengane ;negative
iamtbotouch cityofjoburgza labomama bakwa pick it up naya cleaner futy udoti uyaqoqwa inkinga ihambeli zethi zivele siphose udoti phansi🤦‍♂️🤦‍♂️🤦‍♂️ ;positive
sir dupry aj mhlekazi ❤️❤️❤️👆👆👆my captain ;positive
ipeleng ngu makazi wabo nyani sana ;neutral
the way i love amasi guys ❤️❤️❤️ its my weakness 🤞🏻 ;positive
sicelo 11 its not caused by braai meat but arather high purine diet including beer inyama yangaphakathi other red meats lol uzoshuya u35 ukhala ngobozo lapho ukuthi libuhlungu 🤣 ;negative
myiste kakade isoja lifela empini 😂 ;positive
singenew mabena mshiywaluphuml5 chrisexcel102 intoni🤣 ;negative
so is your president kodwa ke sabaweli impilo yase sandton 😔 ;negative
zickiie s what do i say if it’s one “bethuna ” ;neutral
mbawolive but even if bayambopha uzuma sizozuzani izoshitsha economy yesouth africa izophela iloadshing unemployment izophela but cha ngeke sizuze lutho uboshiwe akaboshiwe but kumele sibheke inkinga esinazo manje coz kunzima eskom kuyabheda ;negative
ape blak kancane kancane ;neutral
loo west1 😂😂😂😂 inoba uyagula aw’philanga surely ;negative
khayengema sbumphela uyezwa angith 🤣 ;neutral
avengidi bryanchelsea11 pabiier usiqhela kakubi lo tshiiii ;negative
songezozibi hayi jonga i was never ready for this tweet ndinentloni the way endiyihleka ngayo ;negative
amanda nm syabongasingela inkinga ye problem ;positive
high demand kaloku niyenza gqith sex ;neutral
rwna22 اسوودك يا رونا🔥❤️❤️❤️❤️ ;positive
miss madikane01 uyakugulela lomntu ngoku umhle kangaka ;positive
chrisexcel102 andazi bathi amanzi nton nton adibana kwatsha kwacima 😂🤞😭 ;negative
melikhayal3006 oh bethuna that smile esesebuthongweni enjalo akhawuleze aphole uak torho azophuma apha❤️❤️ ;positive
molweni last night carried 1 team cursewe move 🙌🙏 ;positive
ladyhuneybee tshela meetsi so long am coming ;neutral
zecky2409 meat only ke athi the rest got finished💔💔💔 or even salads only athi kuphele inyama or ipapa lodwa ke just to show ukuthi she thought of me lutho siskodwa it was a a thank you that i was expecting coz i was doing it out of love vele but yo ;negative
menziwathabani umuntu nomuntu uzicabangela yena manje omunye nje lutho ;negative
yoh bethuna😭😭😭okare nka loma scale ruler sone se ;negative
isixhosa sithi oxam bayaphaxulana bayeke sani soze bakuqale😂😂😂 ;positive
loadshedding yonke le eyenza kudayiswe amabusiness cabanga abantu abazolahlekelwa imisebenzi 😏 ;negative
akasabuleli kwi comments kodwa kuthwa uyaxoka 😭 ;negative
yini vele umsebenzi we sacp dolly mapaila can see hunger coming ;neutral
i am bongi chrisexcel102 leratomabuza enhle said shes still married to the dj the guy is married doesnt look like he wants to divorce his wife omunye nomunye akabuyele emshadweni wakhe bakithi ;neutral
zazzle and ukhosi uyamcinela ukutya noba uhleli outside with another woman yhu akhonto ayenzayo that would make the love grow na ;negative
thepaulwilliams no joy in watxhing this none at all horrified by what comes on my timeline not to mention fears of brain damage for those in the video sick and not worthy of being called sport ;neutral
ntsikimazwai eeeh amanga ke lawo bathed ;neutral
zeee nande obvious kaloku 😂😂😂 ;positive
chichiishot hey chichi youre beautiful uyezwa 😍 ;positive
sncura cause amadlozi awalifuni ixoki lenyanga ;negative
dimpho mokwala bmw kemna andisasizi isilungu kakuhle yintoni ewrong apha ndizobanomsindo okwam ;negative
thathani apha batshana bam ivice captain yethu gqiba nimakee sure ba niyaybamba le league ;negative
dumsvni ebela bela ngasephala phala ebhekabheka while cars zigqithagqitha hay kusisphithiphithi ;neutral
thamigatsheni a lot of sweet nothing we know mbalula when he is comfortable in a faction he goes all out and fall flat ekugcineni ;negative
dambongza cishe walala ebaliwe 😭 ;negative
when russell zuma says ndiyabulelangokungvulela eyakhinhliziyo wayenzyabalula eyamimpilo qhubeka ungthandenoma kunzima weeh ngizibona ngikwi alter🥺🥺 ;negative
lady patience29 ngconden 😂😂😂not unomatashiya yintoni leyo🤔 ;negative
mchengemeister hayi jonga bandigqibile 🤣🤣🤣 ;negative
zanewsflash umlungu has got no cows here they stole our forefathers livestock this must be a norm ;negative
luthandofuze yhooo 🙆‍♀️ the feeling is yhooo andinayo incazelo ;positive
sandilezibani loo ntliziyo intle indenzela iintshaba ;negative
myandisoa lutho yena in his mind uvukile with 2 girlfriend 😂😂 ;positive
nelayo g sayakuhalalisela ;negative
nkomoyihlaba uxolo may the good lord heal your heart love and light ❤️🥺 ;positive
zsimayi 🤣🤣🤣iyothusa mhlekazi wam ;negative
skibha looking at the initial tweet of this thread uwena owadingayo udle ngoba ulambile futhi ;negative
“on your own” ndiya woyika mna amadoda😭 ;negative
oyama yaya zwane is a plumber qha and ke soze ndive ngawe which team to support ;neutral
l dakkie sssphelele ngithinmina soze ;neutral
abantu bayabusela utywala out there and i’m trying to quit 😭😭 ;negative
mbali mod kancane kancane kuzovela ;neutral
andyvungs please share those nudes bethunana ;neutral
djsgqemeza ukhozi fm ukhozifmvabs mthiya brazongicela ukuvusa umama wabantwana ekhaya ehlokoz nomndeni wonke wakithi amakhize ;negative
asivukeni siyetinsimi bantfwabaketfu sekuvele konakele ;negative
thembekanzimase ngicela ungabatheleli lokufa onako🤣🤣🤣 ;negative
siyungu sir golela qale apha kaloku inoba zi franchise ezinye ke uba zikhona ;negative
dotnetguluva haaay kaloku haay mandishiyeke bhele andiyokati mna ;neutral
girlnamedfriday akhonto yakho bangayaziyo mos 😭😭😭 ;negative
sncura ewe kaloku criminal teens kuqala usisi… ;positive
i cry almost every second day and it’s not nice😭💔 it’s so heavy bethuna why ;negative
hlambani thoroughly guys please kushushu ;negative
soze 😭😭😭😭😭 ;negative
now i see a group of guys coming ndikhaleze ndileqe the guy and ask him to wait for me 😭 andilinde when i get to him athi tyini ubusi waske wandiphathela umntu osokolisayo kodwa i told her ndifuna iway engazondisokolisa😭😭😭😭😭💔💔 ndiyozela mna masambe wena😭😭😭😭😭😭😭😭 ;negative
noxymazikhali that’s a hat i’m thinking too because there’s no way kaloku 🤣🤣🤣🤣 ;neutral
nonkosi ayanda ulibele kuthiwa akana capacity just the other day jikijiki usiphathele isona ;positive
mnkm inoba ndiyamthanda ;positive
rudolfchris soze yhooo ;positive
lebohangbokako they are so corrupt they disgust me i just pray that they arrest all the rotten ones i do not need to be in any other country to know these guys in blue are the worst plague in the country sapoliceservice get your house in order bethunana ;negative
mitch realgee yaa tshela me mango ;neutral
gedeza20 cabanga nje ;negative
cwayita mbobo uxolo ❤️ ;positive
understoed nami ngiyasola remember noxoli spoke out on him some time ago ;neutral
inkinga yenu enikwenzayo nikwenza sakuqhoshela abantuyikho ningeke nibone noma seniphumelela ;negative
goodwillbuthel mfoka jobe ay ngeke sokalisa mfwethu ngenze iphutha and engaged someones zombie am out ;negative
indlela encabanga ngayo iyangwarisha ;negative
eagle66017981 im pacho welele akenizweni nansi inganekwane 😂 ;positive
molweni nathi sivukile bebhejile proof of life mrozawangempel djsgqemeza ukhozifmvabs ;neutral
you can never say you know a person bethuna ;neutral
impi mnqobi yazoundisputed big nuz1020 cartel isambulo ;neutral
xolimngambi kanti selalukazi sinjani asizwa masithi asisafuni ukuholwa yizalukazi namakhehla ;negative
asanda koza woza la ngizokhotha kancane mtanami ;positive
buliesomwa jonga ubabamba online yi cold war 😂😂😂 ;negative
nondiraa khizzie lungimzie soze ;neutral
sphesihlebongo 😭 asoze kaloku ;negative
ukhozi fm nvmckenzie sawubona sisi nongcebos hlezi nginawe njengejwayelo ngise mhlumayo fitty park mnambithi sicela network bo fitty park mhlumayo ukhozi alungeni kahle network ayikho ngempela iyahluphaubusukuobuhle ukhozifm imfundoiyadlisa nvmckenzie ;negative
lutho sbali asyeken ;neutral
mampotsekoko mlaphikazi gek movement thokozani ngicela sihloniphane singakhalani mibhokolwati lebantfu lujulile tindlela tokuba nekukwati tandzile kufana nelwandlelwabangomalet’s not do and say we did because it’s not giving 🕊️ ;negative
shaun malinga awyeke amanga babah ;neutral
shauniaro ey gatyeni uxolo enyinto ndizalwa yintombi yakugatyane 😅 ;negative
loadshedding started an hour early now umbane uzobuya ngo half 6 yesses 55hrs yonke fuck you guys myanc ;negative
lunga 21 zarmamma its not a problem inkinga is when u hear footsteps ;neutral
cabanga iwele phekwakho e bathroom usazilalele😩😩😩😩 ;negative
yoh fok n i just recently bought jeans n proper jeans ngelo xesha ;neutral
zimiphib1 kingsfiso ukhozi fm danki1223 ngenqene kwakuqagela nje abuhlungu amanga ilanga malibalele usuwaqamba nje😀😀🖐 ;positive
mainstream main 🤣i’m i ndikujongile ;neutral
pastorthedj ntsabomluleki uwfm88 106fm indikhumbuza elaxesha lezitereo umalume wam wayenomona gqithi ngesakhe ;negative
it was a beautiful day of celebrating love together with comrades in kzn 💝 umembeso vusiwedsnonceba ;positive
ujekebuzi lutho i slept at 3am binge watching on netflix ;neutral
niyatswebelana kaloku kwezi nantsika🤣 then ningombane afterwards …ey phofu bayatswebelana nabazalwane so don’t mind me 🥹 ;negative
busiswa stemele intombi ebawela icala legusha 🚩🚩🚩🙈🙈🙈🙈 ;negative
la “uyayiva kengok “ ka mapensela11 ibe ityiwa i pirates yam ingaske ndicime i tv😭😭🤣🤣 ;negative
simmie klaas and ziibig days kengoku 😭😩 ;negative
danisiledani maryjaneexplore kakade it’s here for utilisation ;neutral
umshado awuhlehli bafo😂🙈🏃🏾 ;positive
advobarryroux angahlala kanjani engekho single edakwa utshwala6 savanna nje uyomudla ;negative
onezwa i wonder nithetha ngaban ;negative
konakele emgungundlovu flood ;neutral
neliswanonhle psaflive newzroom405 psaflivenews felt sorry for the anchor haha she was in pain ngoba uthole impendulo kukho konke she tried to throw at the guy captured media is dangerous ;positive
ungalili nje unqandwa yintoni na mntase ;negative
koko matshela hawu koda nawe kade watshontsha eeskom🤷🏽‍♂️ we also felt target as a country ngeskhathi wena weba eeskom ;positive
abby twa2 camagwini g k cybersecwrld jonga xaba phola 😂 ;positive
ntshengulanak 🤣🤣🤣 soze ;negative
thamsandwiches sibahlemo jonga😭😭😭 ;negative
chumanitunyiswa soze😭 i’ll drink oros ndixole ;negative
samu hlophe kancane nje 😭 ;negative
vulgarianrossj weleleh inganekwane ;neutral
nwabisatandile kweliphi icala ;negative
badlands 2 yesterday she said to me ndizolala ke mna uba ulibele kukuncokola ;negative
“sidla amanzi kagesi” muphi wona lona kaeskom 😂😂 ;positive
leighdlamini2 ey konakele ;neutral
hlela lulubel yini umsebenzi walento vele ;negative
kwesinye iskhathi mangibheka impilo yami ngifikelwa izinyembezi ;neutral
haibo wenja yini amanga ;neutral
soso sonke nam ngaske ndithi ngomso 😭😭😭 ;negative
phathi nji jonga sana sibuzzzzzy ;negative
i need a new watch but my sons schools stationery list for next year has come out and its r765 for the young one and r1370 for the older one grade 4 and grade 5 respectively ngaske ndikhaleno watch for me then ;neutral
bongzmessi nkanyisombatha3 kelele kunye ramos admitted to manipulating the rand and everything is okay zuma and guptas are the problem ;neutral
b mbovu spider man ungcono apha endlini ndibukeliswa miraculous iveki yonke ;positive
mmusimaimane cyrilramaphosa myanc weleleinganekwane ;neutral
guys niyayvuma lekaka ngempela 😳😳😳😳😳 ;positive
nduzana1 destinyzee kushushubezimkhalela usistas😊😂😊😂 ;positive
siyx b kancinci nje ;negative
andilejali870 mhlekazi 🔥🔥🔥🔥🔥🔥 ;positive
muscles n curve sanbeerday kaloku uthotywa ngesqo 😁 ;positive
shufflesdu hhayi cha akadlulele phambili bandla 😂😂😂😂 ;negative
ntobengnkadimen wait until they vote bazoku xelela anc ibanika r350 ;negative
its a bad week to be umphokoqo worse ndihleli netyma qha for the whole week so akhomntu ozokhalaza as long as ndithe fafa inyama on the side ;negative
benedic28871317 ‘kade ngthola ucingo oluphuma emsebenzi bathi kuyaphuthuma ngzobe sengibuyile kodwa in 3hours’esho ephuma wearing uniform and boots 😂🫣😂 ;positive
innocen51178275 khosi if kwenzeka lokhu ukuveza kancane kancane ngizokunika ubuntatheli ngokusemthethweni ❤️✌️ ;positive
phuphulenyon pallnandi jonga jonga ndifefi ;negative
geoffreytoyana sebabem4 ta size mphoza929 pfarelo villa fanie shauniaro tabz matabo soze ;negative
xhosa35176379 elle94390971 namhlanje sivuyiswa kukufumana iimali zemihlaba yokhokho bethu eyathathwa ngamabhulu eloxesha samnkela ezimali sihleli kovezinyawordp houses nasematyotyombenimkhukhwinibobosini tsiii😭kwazekwabuhlungu ukba sithi ;negative
citytshwane kanti citytshwane nisifuna ntoni hay niyayibhaxa bethuna electricity was suppose to be back at 1830 the time is now 2022 hay niyadika nina ;negative
nathanxb s londypearl impilo bafo ;neutral
tbo za you did something there by “ixesha”🥲 ;negative
yooooh hayi shame i cant even imagine yintoni le ngoku 🤣🤣🤣🤣 ;negative
rani yho haike uta sewugrand mos bendidlule phaya ngeny’imini oko ndithwasa 😭🔥🔥🔥 ;positive
mayorpappas provincial government is busy ass licking for positions khohlwa ngabo amp continue working with the communities and before they know it youll be the premier🎉 ;positive
wandilehlamvana hay sivukile mfo wakuthi akhonto bobushushu qha wena sibuvayo ;negative
dingane gatyeni ndifuna imbewu ye kale 😭 ndlela le ndiyithanda ngayo ;negative
therealest201 every man ubala nam mfondini ndicela ungandifaki ;negative
siyabonga mfo ka sjava ujama ujamlundi indlalifa for the healing 🙏🏾❤️😭📿 isibuko ;negative
advobarryroux kodwa phela aniyanga eskoleni ngezikhathi zamanje yayingekho i social media ngalezo zikhathi impilo yamanje inje akunankinga la as long as ewenza kahle umsebenzi wakhe wobuthishela ;positive
sbosh abbie i’m not inheriting your shit😭🤣🤣 soze ;negative
mthiya sa yazi ngempela he needs a serious beating thewifemzansiwethu ;neutral
ndevu siza nsnkosi3 hayi ndikuncamile usisidenge qha okanye ulinde elakho ithuba lokuzitapela nawe soze ubekwe sithi ke ;negative
thisisayabulela mihletshemese 😂😂😂 ingaske nisiyeke sibhanxwe in peace guys oko niyaphikisa nina😭 ;negative
djkentsa uyeva ke manje 😁🔥🔥 ;positive
rabsvhafuwisa makhadzisa kodwa nkabiyam awusho ubucabangani ukwenza ievent nge 31st hoping sizohlula unyaka nawe 😭😭 youre not that guy bro youre not that big angeke siyeke abo waffles abo come duze size kuwena maybe ngo 2016 ngeskhathi sa count your blessings manje hay shwele nkabiyam😭😭 ;negative
felenganeni inxeba lendoda alihlekwa njalo 🤢🤣 ;neutral
nomathemom soze ngithinte nokuyithinta ;neutral
biggie even paused diary sessions because he wants us to see the khosicle conversation khosi is the show bethuna bbtitans ;neutral
snatswaziland eswatinigovern1 thina siyaya siyaya siyobona amasotj omkhonto ngoba siyaya siyaya sobona amasotj omkhonto phansi ngabogubhele okwabo phansi phambili ngemzabalazo phambili ;negative
kizzypotgieter lol bafuna nje ublame this girl cause naxayi hleli nabanye abantu akhonto ingako its during tasks and parties that he shines ke shame ;negative
nwabee m a former colleague who i was an intern with longtime ago recently told me that there were divisions amongst them i was dumbfounded i won’t lie i asked her babe lifumanaphi eloxesha because i would literally go to the office work and leave i didn’t even notice nezonto ;negative
nicholasnyati national party voters were responsible for apartheid as well and we acted differently alikho iqiniso emhlabeni🤞 ;neutral
ndifuna ice cream ngoku 😭 yoh haa and kuvaliwe kwi shops apha😭😭 ;negative
sanelezulu ngicela imali yami ;neutral
lets give white man a chance in presidency sihlulekile bafwethu lihle iqiniso ;neutral
babsadons umpuzise i allegex alale umntwana une allergy yokulala engekho u daddy ;negative
soze nditye papa kungekho nyama ;neutral
langton grant stusjohnson not khayalitshalanga philip and nyanga ;neutral
lonwabo mbuqwa msivana ngaske nigowe nide nisweleke 🤞🏽 ;neutral
ukhozi fm bingelelam sekuntwelezansi ukhozifm62 naba msakazi thamsanqa shelembe eslahla dovu wamashabane erichmond prince nhlangulela kamagoda foster madlala emlazi ngibonge 🙏ukhozifm sekuntwelezansi ;negative
tshepolefthand alexsithole khuluma please 😊😊 ;positive
cafu makhafula nokuba it’s hot anina ngxaki tuu nina ;negative
manzinizungu amazwi awekhosyafa idubulo mphathi into eyenziwe abafana on friday ingenze ngahambela phezulu mangidlula endaweni bathi kimi mandlakazi umdlalo omuhle mawuqhubeke💯💚🐍🔥 ;negative
ungena kanjani emjolweni ngephutha 😂🤣🤣 ;positive
damandivhuwo111 ngichazekile ❤❤❤❤ ngeke ngiqambhe amanga ❤❤❤❤ ;positive
chefway indaba nalezinto esizujwayele nizibiza ngamagama a snax mina bengithi yi anyanisi le ;negative
lmkonqo yeka uzenza bhetele nyana tyhini layisha😂😂😂sibambe njalo inenekodwa wawnyanisile imbeko ikuwe ubona ucelwa nje ;negative
bottle number 2 but ingathi khange sibuqale worse sibathathu ;neutral
classicthando abafuni uphoswa kaloku aba 🤣🤣 ;neutral
zintlediko nosisekelo3 abanye abantu abakwazi ukukhuluma umuntu uphi naye kahle akuphendule ngathi wehla etruckini yesewerage and ke trust and believe its not that i dont know how to be rude ;negative
lulama koke moshe soze sanalwami insimbi ayigobi le🤌 ;negative
i just told my colleague that my memory is not as good as it used to be does lomntana not say “it’s the age” bathong 😳😂😂 ;positive
her baby sejapan him qhubeka uye nasebrazil sfebe😂😂 ;positive
liyabonatoto1 venues might be ingxaki but ke let’s hope they did explore pe restaurants coz we have plenty ;negative
kunye won ;neutral
andisena nerves ziyangxola ezi girls zime emva kwam 😭😭 to top it off kushushu where are they getting the energy to be so loud ;negative
aimo 😂 soze bruh nna ke die hard ;positive
seer terabyte jonga ucula into engekho lama hips ungu thapelo ;negative
thamishezi5 nawe ufuna ubayi favourite kengoku 😅 ;negative
mrskota andonqeni andifuni uzothini kengoku ;neutral
noxolonomonde real yemm ulambile mos ;negative
anelefumba haybo gwaxula🤕😥 sukulwa mdaka😩 ;negative
back emasimini jonga sana ndimuncu 😞 ;negative
lavidanota uyazelaphi lonto nota kodwa uyaxoka mfondini ;negative
shaunkeyz inkinga black people are all talk and no action no unity they are corrupt in a jot smart way whereas the whites are united and kinda lookout for each other and they are corrupt in a smart way ;positive
themoor za yhu amanzi angaka ;neutral
jannaqua umshado awukho serious njena ;neutral
mbalulafikile sg of a fast dying party molo nakuwe mhlekazi ;positive
inoba singo hata shame kula tata ;negative
the way i was staring at sisanda izolo at ferndale on republic khange ndikwazi uzibamba shame i might have drooled a little i loved him in tsha tshai wanted a photo but ndoyikile😔 ;negative
apiweenkosi hes been asking his partner to stop cheating for 10 years soze angagugi 😭😭😭 ;negative
im listening to kabza de small khusela official audio ft msaki | amapano by mrluu de stylist ;positive
uwfm88 106fm khanyisakukhanyemhlobo msasi ngelinye ixesha yindlela enohlukene ngayo ndise makhanda ;positive
nhleiks5 uthuli madonsela akabukeki period ubuso bakhe bunjengenhliziyo yakhe konke kumbi akubukeki and akuthandeki ;negative
kheswa thenjiwe intombi efuna umshado ize ikhiphe imali yayo inike indoda iyoyilobola kubo ;negative
04octobergang khohlwa yi promo ke 😂or send nudes ;positive
okase tshepe motho o segilweng pipi a tshela😭😭 ;negative
bodo andisiwe i now you talking about your dyan but uquka xa usithi pretty boy kaloku☹️ ;negative
nokukhanya b no babes mina ngi right on that department i took a decision 2021 december nga funga ukuthi soze ngeke never again ngi hurtwe umuntu ;negative
ey bethuna ☺️ ;positive
my 13 year old son uthi kutheni benxibe kanje kwi party🤣🤣🤣🤣bbtitans ;neutral
sine ngobese kade wayuqala indwangu 😃🔥 ;positive
gentlements they wont be part of lamali ebephisa ngayo all the time kalokuthe well of white monopoly ka rhamaphala has run dry ;positive
sphindz thanda kabi impi 😂😂😂 ;positive
ewnupdates you have not even the smallest bit of any dignity wena phalaphalafarmgatecriminal presidencyza a pathological liar and a crook is what you aresok tshela thina ngoba asi dakiwe ama dollars 💵 wase phalaphalafarmgate ;negative
nonanda k jonga andina baby daddy drama issues🙌 ;positive
ntshengulanak ba chwama number 1 mna ndi nga sweleka i’m sure😭 ;negative
yoh haa sana skopo mm soze sorry ;neutral
mzolopearl mokone54332080 inkinga lomakoti 🤣🤣🤣 ;neutral
eita olaa blacksh90139340 psaflive newzroom405 psaflivenews lool uyandithuka nkokheli xa usithi ndiyaphambana🤣🤣🤣🤣hay hay sukufuna indaba ezisuka ezimbabwe kaloku mfondini ;negative
vandal707 impilo yakho 🥴💀⚠️ ;negative
poweralert1 ndiqalile ndenza umqundu kwakhona 🤦🏾‍♂️ ;positive
sihle93sihle soze 😭💔 ;negative
ntobeko njomane mina ngicela iemail adress bandla so i can send it ;negative
buyathandwa utywala apha 🤣 ;negative
wfreemantle yintoni nteshe ;negative
this is a rejectioninduced insult that almost went to private school might seem like stunting but its actually as crass as oh ho bengithi ngiyakzama nobubi ;negative
mlondikaziee sekulindwe iskhathi newyeargospel ;neutral
uyayazi sunday vusa onke amanxeba i said andiseli this weekend but nantso savanna esandleni ;negative
ngyamuzwa mina kodwa hayi emshadweni phela hawu ubesangabahlalisa nje phansi abatshele kahle in private ;negative
inoba ndingasitsho isikhalo ;negative
mzwanelemanyi this coincides with the urgent interdict by he the president of the republic against jacob from nkandla thou eish we will miss your legal education as that plays out kodwa ke akhonto phumla mhlekazi uhoyane nengqondo nentliziyo yakho ubolile utwitter tata ;positive
maylynne yeah its possible ezinye izinto ziyafundwa inkinga nje ile comparison and unnecessary pressure ekhona igcina yenza abantu bahlukane to appreciate and prioritize abanakho ;negative
angfun ukukhuluma namhlanje ;neutral
nyanisodzedze always brings the 🔥🔥🔥🔥🔥 kushushu man 🙌🏾🙌🏾🙏🏾 theestateon3 ;positive
ndingusonke thank you sm mntasekhaya 🥺❤️ ;positive
andilejali870 mhlekazi onakubhubha uzakubhujelwa ndimi ❤ ;positive
