sentence,Final_labels,predict_name
mara chiefs e re etsang,negative,Sesotho
@user @user ai mara entle le ena nagana o re o bula tin ya macaroni o kopane le lovers plus o ngale o re o nwa biri o kopane le choice mo frijing o re o lata box ya halephirimi o bone e tletse rough rider mxm,negative,Sesotho
that tobetsa fela dance has me in a choke hold,negative,Sesotho
@user @user you messing up my game mashongs o tlo nahana ke skeema di bhari,negative,multi
@user i think the less we see or hear about a persons partner the better haholo when during campaigns they were never really a feature we elected him not him and his marriage or lack thereof he may need some spousal support every now and then but,negative,multi
@user joale motho chankaneng o tlo ea ka basaling e mong a ea ka banneng ebe e felile film ea bonnie and clyde,positive,Sesotho
@user joale u tlo etsa joang hobane ha hona mo e eang,negative,Sesotho
mfanao sa kgathetse ho phela amsho o tennwe ke lefatshe,positive,Sesotho
@user vini is wasteful bafo heΓö£┬╗Γö¼Γò£s a threat but canΓö£┬╗Γö¼Γò£t convert looking at chances he gets mbappe is good empa ke tenoa ke attitude feela,positive,Sesotho
nahana u ntso lora u re u phomotse hamonate athe thepa ea tsamaea,negative,Sesotho
isnt this basically what a professional butler does lona ha ke batle mosebetsi atseba,positive,Sesotho
@user naa u oo e bone hantle,positive,Sesotho
@user you will learn our language this time around a rena nako,negative,Sesotho
@user @user come and see mehlolo fela,negative,Sesotho
@user kea nahana man,neutral,Sesotho
@user ke wena o bata dilo and stuff,neutral,Sesotho
lemme charge all my gadgets kgang tsa bpc di bosula,negative,Sesotho
@user le tla bolawa ke go boelana ga ntsimme legale kea utlwa mogolo,positive,Sesotho
@user ke sala ke go bitsa ha phakela ha o ithela missed call just now gone o ntheile wareng o itse sene ke se bata avroy shlain please,negative,Sesotho
bathong lena like lefatshe le eme ka di stiletto,neutral,Sesotho
@user ntseke bona na ubatla ho etsang,positive,Sesotho
@user @user hoseng hakana,positive,Sesotho
go bata ke robetse,neutral,Sesotho
@user wena o tletse matlakala pila pila,neutral,Sesotho
ba bona hantle ba ja mmele wa jeso,negative,Sesotho
@user @user bothata ke hore wena u nahana lintho tsa qetellong qalong,negative,Sesotho
@user ke bata go checka my sister ga ke bate di surprise,positive,Sesotho
@user @user haholo because why holding his head like that,negative,Sesotho
@user orobetse hantle mamaa,positive,Sesotho
@user a re o boele lapeng,positive,Sesotho
@user yea molimo o na na le lebaka kore ha ho na le a balance ka hore a be betere,negative,Sesotho
@user ke hloka motho ea ntharollelang hore na iec e bolelang ha e re ha e na electronic voters roll ha ntse ba sebelisa ho registara le ho fetola registrants details data e o ba format e fe iec e na le link e netse ba fana ka eona for on,negative,multi
@user hahahaha ke nahana management u ko itlhatlhobe,neutral,Sesotho
@user akukho xesha lokhathala when you are confronting a gigantic steadfast buffalo bazokonzakala,positive,Sesotho
ke excited blind ka kgang ya di11,negative,Sesotho
account ea hau ea mpesa e kile ea koala e na le chelete mabitso a beng ba liaccount tsa mofuta ona a tla fumaneha vodacom centre le websiteng ea vodacom feelaitlalehe vodacom centre e haufi u nkile boitsebiso ba hau ho buseletsoa chelete e joalo,negative,Sesotho
@user yea wetsa pila aowa nahana se ke re ko @user bathi baqela o munye untwana akangi lahla fast,negative,Sesotho
@user o nagana o betere ka bobe,negative,Sesotho
@user ee rra kgang ya ko village app ya ga mbaki mme go sharp sir,positive,Sesotho
haeba le nahana ke likhathatso when it comes to food yall havent met my mum,negative,Sesotho
e batla ho lata bane ba sa etsang bana ka winter ha ke e shebile hantle nna ke pholosoa ke fact ea hore ha ke sa kena letho la thobalano,positive,Sesotho
@user @user inhe kisi na kisi vajeh se khud ko upar hi rakhna hai chahe kisi bhi had tak jana padeconverted hume bata rahe hain jo aurangjeb ki gulami me aaj tak gulam hain,positive,Sesotho
@user bathong khotso hoseng tje mara seba o entseng,neutral,Sesotho
bare ke le kganya bana ba ntate,neutral,Sesotho
@user mo jwetse atle ka ten tawa atlo gruva betere this week,positive,Sesotho
ngwana wa bo dikgomo ithute molodi gore motlhang malata a ile mogala wa kgomo tswarathata e sere go utlwa sebodu wa kgaoga ditlamelwana tsa pula di baakangwa go sale gale tloga tloga e tloga gale modisa wa dikgomo o bolola natso,negative,Sesotho
@user u nahana re tlo una molemo ofe,positive,Sesotho
@user ke potso ya mofuta mang e lewatlelol,negative,Sesotho
@user moes neba sa mo itsi mpura ene rona ramo itsi takeoffpila pila ne zama go etsang,neutral,Sesotho
@user @user nkile ka utloa motho a re Γö£┬╗Γö¼Γò£nuru ebe esena nuruΓö£┬╗Γö¼Γò£ hakso qabohe hakaloanyway to address your ask no empa ele hore eba matsoho a sa fumana thuso project e be fete scope,negative,Sesotho
money or sex lie keo mametseme sex,negative,Sesotho
wena o betere nna motho o postile magwinya,negative,Sesotho
@user @user bathong step father hantle o rekele ngoana di vans,positive,Sesotho
@user o shebe letsoho leo,neutral,Sesotho
@user ua hlokomela hore ha le fihla mozambique ha lea ea katse le ile mafeteng e eang katse le li emele teng france e ee mafeteng e leng katse ea bona,negative,Sesotho
@user thobela ke tsogile botsewena o tsogile hantle,positive,Sesotho
@user mm joang joale,neutral,Sesotho
@user owaii go tla tweng ke tla bata o mongwe go nthusa umlilo,positive,Sesotho
@user kana kgang mma,positive,Sesotho
chelete chelete cheletefeeling ea ho tsΓö£┬╗Γö¼Γò£oara chelete e tsejoa ke teboho foulo ea hapileng m30000 tlholisanong ea mega jackpot re thaba le eena kajenohmmm uena u ka etsang ka m30000,positive,Sesotho
@user eeeh o ne o etsang in a tree yanong,neutral,Sesotho
@user watch amazulu e tsoga ka rena friday,negative,Sesotho
@user ke hantle waka ke tshepa le wena o sharp,positive,Sesotho
@user @user @user molate haeba se le tsosana ka joala,neutral,Sesotho
@user kgale ba bolela gore banyana ba nale chelete,neutral,Sesotho
beke le beke you are out chelete ene carthy a bua ka yona e tswile,negative,Sesotho
@user this happened bare wa kganya,negative,Sesotho
@user @user hantle feela,neutral,Sesotho
@user well done champ thuso,positive,multi
matswalo a sa ntlhokisa tumelo ya sebeleke hopole dibe tsa ka kentse ke itelela empa ke lebala ngaka ereng etla mphekola,negative,Sesotho
@user ntja joale nna ke utloa hoba joale hakena mosebetsi,neutral,Sesotho
@user @user @user ke re ketswere lefatshe bro,neutral,Sesotho
re lokeleng every where le rena re keneng,negative,Sesotho
@user ke bona eka nka tsheha ho nye ha nka kena ka levi ka fumana ho le tjena,negative,Sesotho
@user brayame by the comments or tweets here gatwe ya gago hase phone or iphone ke moxa a wa dumelana le kgang ya teng le gape a wa ba tlogela,negative,Sesotho
mogau o montle tlheng,neutral,Sesotho
@user re hlokomela wena le bomma same time,negative,Sesotho
@user basadi lefaseng ka bophara ba hloka go lekolwa menagano,negative,Sesotho
@user o hantle my king,positive,Sesotho
ka hlahlathela feelleng haleleleke sa na modimo ke se na tshepo,negative,Sesotho
@user nna kannete ke bona ntse ba sebetsa hantle,negative,Sesotho
@user neverempa re e fumane e teng hae,positive,Sesotho
i cant believe i bagged a webinfluential gig been on that website since neng tlheng yho modimo,negative,multi
motho a ka sheba li photo a nahana le batho ba nang le kelello,positive,Sesotho
@user meetsi ao a bontsa a tonya ga monate oile wa hlapa nyana,positive,Sesotho
@user all the dogs ke a di tshabale goya lapeng go a pala mme ke mo ext 4 imagine ekile yare ke tsena ebo e ntoma so ga kesaya lapeng cz that aai we enemies now,negative,Sesotho
@user niazi ko bata dya hoga k okaat m aja hum jab marte h tu tango per golian nhi marte or na hamare nishane kache hain,neutral,multi
what did waxx mean by she a nail techoa yaka nea bata go griefela take ka ngwana,negative,Sesotho
@user @user the only song im spiritually bound to dance to at groove empa tse ke tsa skobho,negative,Sesotho
@user @user @user yes and he is special to us african obatla ho etsang,neutral,multi
@user am so glad it not my thing dis one nahana se ba re python ke yeo,negative,multi
@user @user o motle hore wena hle,positive,Sesotho
hai che bopheloka bese ke kopana le emong a hantle tjena mele o mnate o desirable smile sa sabe sele attractive joang banna conversation flowing kinda nicebanna ha re feta usave makhadzi aba hoelehetsa moya waka o re yesaba e arabela ka cho hore ahh che fuck,negative,Sesotho
@user @user a boele lapeng winnies come home,positive,Sesotho
@user ba ba le hindrance joang e le bona muso,negative,Sesotho
@user hantle joangke pasela,neutral,Sesotho
bathong kgang ee ya takeoff,negative,Sesotho
our teachers were very old ka nako tsa rena kanti why,negative,Sesotho
eseng ko kamoreng though,neutral,Sesotho
make us understand why you saying he is the worst i think he tried ke u chaele that guy came in during the pandemic when the entire world was in shock jwale nahana lesotho lona that is already kneeling on one knee honestly not much was expected from him,negative,multi
@user ke hantle mokgote net,negative,Sesotho
@user thuso that wasnt a smart move,negative,Sesotho
@user ntate matekane oe ntate pusong ea hao lilemo tse hlano tse tlang ha o ka re sheba ka leihlo la mohau lipapaling moo haholoholo ka infrastructure tlhahiso ea mesebetsi e ka hlaha ka hara lipapali ka talenta tsa rona,negative,Sesotho
@user noo gatwe le bata hearty meals on top,positive,Sesotho
@user @user @user @user @user @user bathong thank you tlheng,positive,Sesotho
bruuuhgao utlwe o nkga ting,negative,multi
@user ekare ke pellet gun ha ke sheba hantle,negative,Sesotho
@user ache lesotho lona ke metlae fela let me go back to ramaphosa,positive,Sesotho
@user u ba bone hantle kore i didnΓö£┬╗Γö¼Γò£t expect certain pipo to be therelike ho qabola eng moo iΓö£┬╗Γö¼Γò£m glad ntse ba iponahatsa eventually character tsa batho always appear,negative,Sesotho
@user mr ke lapeng go theogela ka weekend ke maaka hela,negative,Sesotho
@user eish ke nale fela r50,neutral,Sesotho
@user enele lao qetelazorry,neutral,Sesotho
@user go bata sengwe se se nang le guarana thanya lekhete,positive,Sesotho
anyway chelete nyana ya modende e fedile,negative,Sesotho
tsogang tlheng ditoro ke tseo di hectic,negative,Sesotho
everyone ate nlc money empa nna,neutral,Sesotho
@user la posta tlheng,positive,Sesotho
@user why its not that bad ebile savannah e taea haholo,negative,Sesotho
gale se re qadile,neutral,Sesotho
@user @user @user ke koatile ebilane ke nahana haksatla shebella,negative,Sesotho
for once lena bechang rena ka mablomo,negative,Sesotho
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user thank you so much kgait,positive,Sesotho
dear crush kana ke tloga ke fela monate isi utlwe le taste yame,negative,Sesotho
@user @user o semaumau wena,neutral,Sesotho
@user le tletse drama,neutral,Sesotho
@user mmm buu nahana fela ho kaba jwang,neutral,Sesotho
@user ke nahana re joalo kaofela,neutral,Sesotho
@user iron duke o tshwanetse go go latlhella something ke tletse ka wena,neutral,Sesotho
@user tlaba ra hopela batswadi ba re kopanya le bomotswala go nore re no aga malapa fela,negative,Sesotho
@user helek leave atseba ke utloa eka u ntso tseba wa khutlela u tlo khola hape nahana u lutse u sa fumane mosebetsi hape ahhh hle,negative,Sesotho
@user ke ditaba tse ntle re a mo thabela eka modimo a ka ba le yena puso ya hae e tsamae hantle ka lethabo cabinet ya hae e sebeletse sechaba sa basotho ho sena corruptionmpho mokoena from jericho,negative,Sesotho
@user hantle na ha ke utloe na u ne a koatelang eena keo joetseeena hee ke motho a tsebang na ho joang ho struggle mme ipotsa hore na molato ha batla ho itebatsa,negative,Sesotho
@user @user @user bafeng yona die deng ko mochine wa papa bona,negative,Sesotho
@user ke bona eka etlo tsoana le eane ea public accounts committeeke nahana setup ea tsoana ntle le haeba hona le molao o lokelang ho feta hore e etsahale another i have realized ke hore as a country we got lots of instruments tse sa sebelisoe,negative,multi
ufihleee ure o tshella mothooo chelete ya nthooo tse monate tsa weekend,negative,Sesotho
@user @user lmaoooo mme pls o nketsa hantle moΓö£┬╗Γö¼Γò£ palama tafole on my behalf,positive,Sesotho
@user aowa gwa bata for byala,neutral,Sesotho
@user aubuti tito ke batla ho buwa le mme thuli madonsela empa hakena tsela yaho buwa le yena number yaka ke 082 17 3260 oka mofa hore a buwe lenna ka kopa hlethis is me on facebook hephzibah zibah motaung,positive,Sesotho
@user ke mametse pip millett,negative,Sesotho
saggies my skat saggies thuso mokwena,neutral,Sesotho
@user u tlo etsa joang qetellong,positive,Sesotho
maoba mona e mong o ne a kene chocholong a itse mokuli a itlele le kobo hoba laundry ba sa li tlise ka hopola e mong a kileng a e pepella le sehlahla a itse baamani ba tlele mokuli metsi a chesang ebe ka lintho tse tjena samfufu e hlokang le medical aid e re ha e na ho khetha,negative,Sesotho
@user moleko o joalo joale the last part it syncs in hantle blind,positive,multi
@user poterrr poterrrr pottt potttt hantle batho ba emeng tsolo ehlile hona ke ghost shotang,negative,Sesotho
@user mmata wena o motle shem,positive,Sesotho
too late for the thuso phala bud,neutral,English
@user le mabitsoΓö£┬╗Γö¼Γò£ kore ke wena hela o amiwang ke kgang tsa teng,negative,Sesotho
@user nna ke le hloile hle le nahana le tseba ho treater batho tje ka mahe,negative,Sesotho
@user nahana fela chomi yoh,negative,Sesotho
nagana o lwadisa ke semaumau se gofa eitsi e tala tala,negative,Sesotho
@user aowa rena pedi men re na le peace hle,negative,Sesotho
@user ache joale ha ke utloe joale na ntoa ke eang kapa ntate le uena u no rata ho fa barali haholo so le ha u so thusa batho ke problem,positive,Sesotho
@user ntsha lesale ka nkong otlaba hantle,positive,Sesotho
@user @user nahana ba ngyatsa wena grootman,negative,Sesotho
@user ai suka o ka se batle lamza hoseng so,positive,Sesotho
@user @user nna kgang e ke e utlwa jaaka lame,negative,Sesotho
@user ke kopa chelete ya ho kuta moriri,neutral,Sesotho
@user haona controversy ya letho mona le hloleha hampe lona,positive,Sesotho
@user basali bana ba zambia ke bona ba re hlola ka physicality empa score ke sona se bohloko,negative,Sesotho
ka nnete lebone la rena ke morena yena fela,negative,Sesotho
@user oska wara yafela reya kgaritlela lehono gona ka kgang,positive,Sesotho
o motle jwang girl,positive,Sesotho
go bata ke bone tsala yame ya lekesi today,neutral,Sesotho
@user o nahana thatha,positive,Sesotho
@user @user ke hantle haholo ke a leboha,positive,Sesotho
@user kgotsong mma rena,neutral,Sesotho
azanka ka fela so,negative,Sesotho
a friend of mine asked me for money i agreed but also i just realized chelete ya lwesa hey so kereng nou,positive,Sesotho
dstv premiership starting xi maritzburg united v orlando pirates 04 Γö£┬╗Γö¼Γò£ soccer laduma,neutral,Sesotho
@user ako refe advise ya ho qetela pele ore goodnight,positive,Sesotho
@user diva eeo ere etsoa kae nahana stress seo keneng kahara sona ka baka la eona,negative,Sesotho
@user shouldnt he do as he wish to ka chelete ea hae has he not donated a vehicle sepolesa uniform for sepolesa a haha buildings etc was it okay for him to do so a se political empa che freedom of speech,negative,Sesotho
@user @user haholo shame kea ba utlwela,positive,Sesotho
@user you have effectively become like thuso you just make up stories,positive,Sesotho
big announcement re ntse re on see you this sunday 6th november 2022 letΓö£┬╗Γö¼Γò£s go catch a sunset re bua kgang tsa pelo see you there itΓö£┬╗Γö¼Γò£s just a slight change,neutral,Sesotho
@user ua hlokomela hore original tweet e bua ka ho balance likoloi tse manual haholo ha li nyoloha moo i have been to nairobi and driven around it during rush hours,negative,Sesotho
@user bathung ke kopa net voucher ya r5 tlheng plz,positive,Sesotho
@user @user le rata chelete,positive,Sesotho
@user o ska re ke tletse boshulawa bona ka ipoletsa,positive,Sesotho
@user eseng hoo a ka hloloang ho kena libapaling tse 50 hle bo ntateempa enrique ke mo ratela ho se qeke like erik ten hag managers like them hardly go wrong hobane ba etsa what they believe in ba sa re bo mang ba reng,negative,Sesotho
@user oska bata go re bora please,positive,Sesotho
go bata motho a robetse early tonight heiii,negative,Sesotho
letsatsing la mathomo la kgwedi ya1 november kere tse botse le dikgagelo di tla tatela mehla yooo hle ke saphela,positive,Sesotho
@user ke ngoana mokreste nna ha ke bone letho,negative,Sesotho
i think this car has drive assist mananeo and knows ko lapeng because wow eses how did i get home,negative,multi
@user ka eng empa ne ntse re lumellana maoba moo hore se re qetile li chelete,positive,Sesotho
@user le ka chelete le di cologne,neutral,Sesotho
you are a powerhouseyou are a brandspeak life into yourself and watch it manifest lesedi le kganya bana ba modimo le badimo,positive,Sesotho
@user @user ake tsebe why empa nnete ke gore any club can wallops pirates twice as long as that club isnt chiefs then akena bothata,negative,Sesotho
@user ba bogale mo dipelo tsa bone di tletse botlhoko,positive,Sesotho
@user broonnya yo o tlhoka thuso ahh,negative,Sesotho
ele hore makhotla a linyeoe a lesotho a fumana nyeoe ee ea iec esa potlaka hohangrena le mp tse 4 tse tlo khola lekhetlo la bone joale empa basa lokela hoba ka moo,negative,Sesotho
@user u batla ho nkisa molekong empa ke tsoile,negative,Sesotho
@user joang joale ho hana kae do we need some sort of intervention,negative,Sesotho
ke tsheletse mama galasenyana ya gin are o bata go phatalatsa flu nna e ke itsheletseng ga ke itse gore ke e nwelangbontsa hela gape go boipuso mos,positive,Sesotho
ba batla ewallet ya company tse ba sa di itseng,positive,Sesotho
i just want to sleep and wake up end of november ngaze nga khathala nga overwhelmed ngimdala,positive,Sesotho
@user rena re tlwaetΓö£┬╗Γö¼Γò£i ngwaneΓö£┬╗Γö¼Γò£o we are even used to sleeping on all sides of the bed now,neutral,Sesotho
@user o buyer sefahlego ka rena wena so ge batho ba ira all these bad things gao ba bone o etsa ma south african di villains of which ke bona di villains,negative,Sesotho
@user mopolotiki protect their own buddy especially ha go sena molao oo ba tlamang annah is one of many eho have been accused abo ba tswella bale mo stilong others opt to resign till conclusion of the caseΓö£┬╗Γö¼Γò£ carter i think ne ele kgang tsa bo pub,negative,multi
@user ema pele 3rd ke ntho e joang drop location re tlo bua,negative,Sesotho
@user @user hee banna nna ke motho empa ke di buwa kaofela puo tsena ho tsamaya ke ho bona braa yaka,positive,Sesotho
@user ke phetse hantle ke mokgathala fela o ntutseng mahetleng,negative,Sesotho
@user ebile ho betere hale sa joetsana and just go with the flow,positive,Sesotho
polo my guy hae buwi haholo ds,positive,Sesotho
ne ke practicer fela,neutral,Sesotho
hantle basali bare batla eng,negative,Sesotho
@user @user @user @user @user ka nako le gone re bata kofi ya ko dishopong,positive,Sesotho
@user @user ska etsang sestere tjena,positive,Sesotho
@user ua tseba mmusong moo le nka hantlerona ke rona bana re theohetse makhooa a rona tuuuuu,negative,Sesotho
@user @user hay ke mathata fela,negative,Sesotho
@user @user nna ke bone reaction to criticism ea prof mahao hore ehlile batho ha ba prepared to take it hape ke bone bap e ba thoholelitse ka ntho tse ngata tse positive empa ba bontsha moo rfp e hatileng hampe ka bona batho ba halefa,negative,Sesotho
@user ngihlolwe ke letho my skat ngiadmire ulerato fela nje,neutral,Sesotho
@user empa ha ho bothata ha ne re lleng ka le leng lillo tsa rona li tla utloahala,negative,Sesotho
@user 500 chelete ya grant,negative,Sesotho
@user e seng ho e fetola public broadcasterhoba hona joale ha ke re lnbs ke gol broadcaster not public broadcasterempa he ha eba ne nka fuoa monyetla oa ho khetha pakeng tsa ha e le gol broadcaster le private broadcaster nka khetha,negative,Sesotho
@user untso etsang kapa u hokae,positive,Sesotho
@user alu wena ka monday o mo botse so o no tsogela godimo ga rena morning ke sana,positive,Sesotho
@user @user ae yho no ehlile u motle,negative,Sesotho
@user dinepe tsame di tletse jaana,negative,Sesotho
@user o bata go adder kilogram tse kahe,neutral,Sesotho
@user mara ha ke sa rwale di pumps ke tlo di etsang,positive,Sesotho
@user nna ke phela shap abutike no short ka chelete,positive,Sesotho
@user ba tla etsang,negative,Sesotho
@user empa ntho tse o di etsang ke tsa batho ba nang le tshelete,negative,Sesotho
@user jwale o tlo etsang,neutral,Sesotho
met him lost him now ke tletse tletse mo,negative,Sesotho
@user @user ke khahluoe ke haholo ke same culpritshobene ehlile ntse batlo ba khetha haik,positive,Sesotho
@user haholo love them,neutral,Sesotho
o mongwe wa go fitlhela e dijo di sutetse dibiri,negative,Sesotho
le rena re tlo bana le di iphone le dstv e thomile net so mos,negative,Sesotho
kana kgang is delivering today they have bogobe ba lerotse madombi and stuff,neutral,Sesotho
@user batella ba batla hore ekare ke libolo so nna ke batla for baka le betere,negative,Sesotho
@user @user @user o ska lebala hore lenna ka tseba ba etsang thread carefully,negative,Sesotho
@user @user ache ke utloa u ntella ha ke utloe naa hobaneng u mpitsa mini u bonahala u le motho ea sa hlompheng,negative,Sesotho
basadi are not ashamed to say i am not working or i dont have a car empa as for us men mentality and society we live within,negative,multi
@user mxm bothata lona le nahana le nka matla teng hale entse jwalo,negative,Sesotho
@user ele gore o bata go smile o lebagane le lezothi hela,positive,Sesotho
@user bro empa aowa ba tlo u joetsa ntho ena le eanelefatΓö£┬╗Γö¼Γò£e le bora hn ke bo tsibinki,negative,Sesotho
@user @user uena hee a ko itsoare hantle achee,positive,Sesotho
@user @user you robbed yourself ngwana ntate thuso,neutral,Sesotho
we have a power outage so kganya is standing in front of the tv performing songs i assume she is making up no one asked her to,positive,Sesotho
@user bao dieleng baweh mara o motle ausi amp,positive,Sesotho
@user hantle u jeoa keng,neutral,Sesotho
betere prijs gezien voor lego felix de feniks van perkamentusΓö£┬╗Γö¼Γò£ 76394nu Γö£┬╗Γö¼Γò£3499 Γö£┬╗Γö¼Γò£500 rrp13legoΓö£┬╗Γö¼Γò£ versie van felix de feniks met vliegende vleugels,neutral,Sesotho
@user @user le qadile ka zamalek,negative,Sesotho
this other dh likes opposing my instructions in meetings and every single time the principal will give the same instructions and he doesnΓö£┬╗Γö¼Γò£t challenge him,negative,English
@user re hopole hape hore mme tapane ke motho eane aileng a senya dr phamotse lebitso joang haene ele letona la lipapali so leha eba dc ene moromeletse ho dr menyetla ea ho lumellana ene e fokola,negative,Sesotho
@user ole etsang mara,neutral,Sesotho
@user @user o ska dlala ka rena angelina must face the music,negative,Sesotho
@user arsenal le man u ke nahana ho tloba le u1 arsenal 2,neutral,Sesotho
ke nahana ho e qhala mohaisane a ntΓö£┬╗Γö¼Γò£elle metsi,negative,Sesotho
o morati ea nthatangea ikentseng motsoallewa pelo e tshepehangngoaneso ka sebeleo jesu jesu wa kawena mora modimoha o mpona lefeelao nthata keng hakalo,negative,Sesotho
@user oena empa o motho oa linyanya kapa che ho teng ho teng,positive,Sesotho
@user @user oa bona ha ke re u ntoloka hampe i was literally applauding for rfp this time mpa ele hore neke tjoetsa motho a na batla direction hore ke bua kang a ska nahana ke bua ka ntho e ngoe ntle le what is all over the tl oa,positive,Sesotho
@user ha ah pebetse wena otlo qetela ngwanomong,positive,Sesotho
@user ba tlanne ba thusoe for now muso ha o na chelete ba ke ba utloe na ke ntho e joang ho emela ntho more a month,negative,Sesotho
@user @user @user adi swe okare di tletse tletse,neutral,Sesotho
@user @user @user a mme monkeynastics wa di kgona ko kamoreng ole kotwane jaana,negative,Sesotho
@user yho uno makala fela when things get mentioned ghori yho ka chelete ya mang,negative,Sesotho
@user same boi nahana vroeg byana setse o le busy ka fake smile,positive,Sesotho
thaka tsaka are out having funΓö£┬╗Γö¼Γò£empa nna,positive,Sesotho
@user this is why kgang ya gore go iwe mabibeng go jelwe should be introduced,negative,Sesotho
@user @user @user nna nkabe ke chwatlile tsotsi marete @user a ko utlwe mona hle monna,negative,Sesotho
@user @user rock lefatshe,positive,Sesotho
@user @user ntsoarele ausi oaka ha ke kolote ha ke koloteee@s3ri3s e sa le a ntse a mema @user oo nkoatetse ke li shit fela empa serious le shap,negative,Sesotho
@user we just need to be sure hore ha a eo totally libapali li fumana season long injury eena u tle u bona pele khoeli ena e feela o tla be a khutlile,positive,Sesotho
@user go bata re jewa 4 games in a row ebe re koba semata se ka go bolella,neutral,Sesotho
@user ke tseba hantle na u bua ka eng,positive,Sesotho
wa e tseba swikiri mos,negative,Sesotho
@user chehe le ha ese bokgothokgotho empa manyanenyana a ntse ale teng hore nne ke phele morenaka,positive,Sesotho
@user esan o tletse die man mokgomise fela,negative,Sesotho
@user nkile la bona kae boΓö£┬╗Γö¼Γò£aedi bja go romela monna chelete,negative,Sesotho
@user thatare tlaa mo fitlhela,neutral,Sesotho
@user @user ausi continue the good work and the good intensions ke itse baloi batla loya babuwi babuwe se ba qadile emong ke enwa wa bona o uhappy lifeng that why she picked a fight not her sizestop entertaining fools tuyour,positive,Sesotho
kgaitsedi yaka ka nnete haeba chiefs etlo bapala katsela eo e bapetseng ka yona le amazulu o tsebe pirates etla feta ka 4_0from section n @user,neutral,Sesotho
c is for chelete,neutral,Sesotho
no photo dump bc october ene e tletse masepa,negative,Sesotho
@user ea 45 ke utloa ese e le cheap haholo,negative,Sesotho
rena akere ra baeza,neutral,Sesotho
@user ba etsa ekare basali ba bona ba sebetsa hofeta bohle mono empa hose joalo,negative,Sesotho
@user i remember ke fihla jhpiego that year ke joetsoa ka ever1Γö£┬╗Γö¼Γò£s bad side did i not love all of them kaha ke tjeo now they talked ill about me because nigga set trendshothoe oa phapha o nahana o betere ba hotspotane nna ke busy ka eaka journe,negative,multi
@user mxm bano leha ole mosotho o tsamae ka koloi ea registration ea sa ka drivers license ea lesotho ba onka joaka molata,neutral,Sesotho
@user o tlaba betere wautla,positive,Sesotho
itΓö£┬╗Γö¼Γò£s so cute talking to fatima re shwele rotlhe mo lapeng,negative,Sesotho
@user wa bona the jumpsuit your friend had on you should have also been in such nothing was wrong ka outfit ya hao mara e re o ausi haholo you hate great clothes already just style them differently less ausi o moholo then youΓö£┬╗Γö¼Γò£ll attract the,negative,multi
@user ke gorogile hle skat,positive,Sesotho
@user @user molao o qabola hampe hoba haho mohla re tla qeta ho fihlela makhotla a rarolla joale u fumane motho ea sa etsang le11 a interprete constitution molao ono oa lipalo o poqa le batho ba neng ba o draft kaha ba ne ba draft ba ba,negative,multi
our generation has always been educated when it comes to teenage pregnancy and safe sexwe had intersexions soul buddys soul city gazlam and phamokatethis generation is not being educated as somehow new age media has lost the plot,negative,Sesotho
@user @user even thuso lerete,negative,Sesotho
@user @user @user when i tell you gore that lady was tiiiired ke rena i wonder how shes doing,neutral,Sesotho
@user @user @user @user i hear you but donΓö£┬╗Γö¼Γò£t you think issues were already out there already reported by media soccer laduma perhaps he thought it is important to clarify matters or to put them in perspective,positive,Sesotho
@user welele e cho horeng,negative,Sesotho
tota this weekend go batla motho a le mo lapeng hela waitse,negative,Sesotho
ne ke so hlahe ngwanana wena o sa bua ka dilemo,positive,Sesotho
@user @user o bata go applaya,neutral,Sesotho
@user this record will never go away etla dula ele teng even after 50yrs coming o batla horeng,negative,Sesotho
@user thuso siphi ispitbraai,positive,Sesotho
nahana ha chelete ea phala phala e qeta ho likela namibia ebe motho o fihla a cho tjena,negative,Sesotho
@user nna sale ke reka last week keno qetela nje,neutral,Sesotho
@user @user lona hantle le jola le bo mang there are some really good huns out there,positive,Sesotho
@user ena ea mothomo ese ntse ele likoloto li ngata haholo maoa a ho bokella ha ke so utloe u bua ka ona ke utloa kamehla u lla ka litjeo u tΓö£┬╗Γö¼Γò£episa kamoo u ka li theolang empa na joang ha ho hlake thuto e ka putlama le ho feta likolo ke li,negative,multi
lori harvey will move on and she will post love it,positive,multi
@user @user @user kana kgang,neutral,Sesotho
@user @user tobetsa by dj mujava kanti uli 2k,neutral,Sesotho
@user @user @user @user @user @user @user @user o semaumau waitse,neutral,Sesotho
@user life ke riski mantjah hauweng haak,neutral,Sesotho
have a go at selecting your starting xl of the week and see how close you get to the official soccer laduma selection,positive,Sesotho
bo abuti re romelleng chelete ea turkey re tshoaneng le sithelo,negative,Sesotho
@user go bata ke ta koo,neutral,Sesotho
@user life yone e bata waya waya modimo o mogolo moss,positive,Sesotho
@user @user ke ntho tsa tengΓö£┬╗Γö¼Γò£ tjerr the pits le menko ya teng,negative,Sesotho
@user lona banna hantle le jola joang i am a sucker for love but never ke lle for such things,positive,Sesotho
@user ehlile hotlo tsamaea 3 cause ba setse bale14 ke nahana ho tlo tsamaea 3 hofihlela,neutral,Sesotho
@user ke hantle haholo waka tanki obe le letsatsi le monate akere ratolaka,positive,Sesotho
