text,labels
aime kancane yekhanda awenze cv ,positive
kingmntungwa sa sapoliceservice manje ukhalelani pho ,positive
"i would like to say to me happy birthday as kuwusuku lwami today lokuzalwa, engafika ngalo emhlabenigod please bless me ngengikuzamayo kuphumelele, and dlozi lami qhubeka ungigade ezimweni ezimbi nasezitheni ezingifisela okubi kodwa nina nqabani mani ",negative
ngisho ungalanda uguardiola ngeke enze lutho ngale squad senu≡ƒñªΓÇìΓÖé ,negative
weza bungeke nje uthi inkinga ikubona≡ƒÿ¡ ,negative
≡ƒñú wathi zolfaka kancane konakala ,positive
ngubane inanda ke lee uthayela intoyabo alivulwa iwindi khohlwa iyamasha intash ,negative
after 4 months ≡ƒÑ┤ cabanga ,neutral
mnotho ngempela ,positive
u siphoz zagga bakithi ≡ƒÿé≡ƒÿé≡ƒÿé ,positive
djmaphorisa awuze ngapha president nakhu ksala ukkhuluma ,positive
"nazi ukuzenza osomahlanya hlengwa kodwa umsebenzi uyanehlulato date you are failing to hold eskom accountable as chair of scopa pravin gordhan has shown you the middlefinger on saa and you are doing nothing about itbut stupid twitter banter, nihamba phambili ",negative
awuyekele ukuba umama kahle ibele indoda block muntu jike ipost ngakho ilokhu ifune ukuvunywa ngento engekho angithi uqedile ngaye thula ,negative
khululeka ukhona upetrol≡ƒÿé≡ƒÿé ,positive
he can go to jail for all o care bazomnika phambili ,positive
at first glance bengithi ibheke mina ngedwa ≡ƒÿ¡ ,negative
iamblackmyth bafo ngicela ukxoxa nawe kancane sithi nje ukunderstandana ngasomething ,negative
ngyabonga tshotsha nyama yam awi bakithi nge truck laseshowe≡ƒÆö ,negative
we sisi owenza isobho e kfc khohlwa ngane yakwethu umendo≡ƒÿ⌐ ,negative
abo sqalo nesphethoΓ¥ñ∩╕Å abo phakade lamiΓ¥ñ∩╕Å ,positive
hau bakithi ngaze ngakhumbula okaula≡ƒñ¡≡ƒñú≡ƒñú ,positive
"t butle lungile se re u amohetse≡ƒÆÇ, itΓÇÖs okay ",negative
khupha ubuso bakho emnsinsileni wethu tu ≡ƒÿ½≡ƒñú ,positive
"hlala nam imini yonke, ungekho andingephili ",positive
oe i want that nose ring but manje i wear glasses so ngyasaba ,positive
"olivia is growing on me, kancane kancane≡ƒÿé≡ƒÿì bbtitans ",positive
udume nge drama ke lo ≡ƒÖä ,neutral
"z owami whn think of it ukuthi they dd this movie kuswimmmmpool, ngicanga inyembezi engadlala ngazo ",negative
hawu bhuti amahloni awakaze abekhona kuwe ,positive
umuhle sisi≡ƒöÑ ungazihluphi ngalaba abanenkinga ngawe standing bona bezonda ababo oyise akuyona inkinga yakho leyo people deal dady isues ,negative
eazy inkinga iqala la umfanisa nabo messi he is not thats where coaching should jump in to make this you boy be better player ≡ƒñª≡ƒÅ╛ΓÇìΓÖé∩╕Å≡ƒñª≡ƒÅ╛ΓÇìΓÖé∩╕Åkhona into e off la ,negative
beautiful rel hapy nikhaliswa yini ngempela ,positive
"ukhozifmtop20njiiinjiiriiiizaah hau ngihleli nawe mfoka magwaza, kudala ngalu gcina uhlelo lwakho lonyaka ngiwu qala kahle nge top20 ≡ƒÖåΓÇìΓÖé∩╕Å≡ƒÿé phuma nje emoses mabhida ngise gp tembisa fm ",negative
aw bakithi baze bashona kabuhlungu abantu bebadala ,negative
ay ngathi kumnandi kuleli bandla yazikancane kancane webandla lika shembe ,positive
ubereats ≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé cabanga ubhathula kfc ka shimza mybe he didnΓÇÖt knw eyakho boy ,positive
insimu ayilinywa nxa komile ikhuba lalo ngeke lingene kuhle please please bakithi lindani izulu liqale line kube manzi phansi besekuyalinywa lento yokuthi umuntu angabona insimu tshompo sengofuna ukulima komile phansi ayenziwa liyezwa lapho ngemuva ,negative
"106fm kkm molweni blaq ndicela bulisa family yam yonke yakwathomas nebadla lasesave the children of god ministry, colleagues zam zonke naye wonke umntu ondaziyo ",negative
thina sivuka sithi pap ekseni soze sidled ntambama ,negative
1st day back at the gym amp woah angfisi lutho ≡ƒÿ¡ ,negative
"kellzmtshumeni lutho , yena uyabheda nje ",negative
"lucmoch yebo awantashinge ana pitbull, mhlambe inkinga zethu zizoncipha ",negative
wamnandi umculo opholile emini bebade shizo fm ngikuvulele phezulu kumanje ngala eshowe ezingasozezabuna ,positive
sa nilokhu ningitshela into ewumbhedo imali ilapho kunina ayikaze ifone kumina ,negative
"ziyakhala ke manje , yizo lezi ",positive
vee enye inkinga esibhekene nayo ukujola nabantu abalimele from their previous relationships ,negative
native crc ivangeli the album umlilo wodwa ,negative
whatΓÇÖs the fuss vele wonke umuntu unehistory yakhe nje manje umuntu onezingane nabanye awumfanele umshado ,negative
"good morning guys, ngafa yi flue, ngicela ningihogelisa ipanty ngithumule ≡ƒÿñ ",negative
frame 2 didnt show umtsintsila as we all know ukuthi umtsintsila womfazi must be only seen by her rider ,negative
nahlale nicabanga alcohol ,negative
ayikho leyanto ngangimthemba nami ngibona iconfidence yakhe kodwa ay akukho lutho lapha ,negative
sandf za ai did you promote this event did you invite schools huh o re tshela ka attitude botlhoko so yooohhh ,negative
"thobz angisho nami ukuthi its right, ngithi kuyisikompilo esiphila ngalo vele njengamanje isilo umisuzulu kwayena uyakholwa, hes a christian like most of the zulu nation so its not wild ukuthi he had a christian segment in his ceremony ",negative
ngicela umbuke kahle ,positive
inkinga loh alostro wenu asimuzwa kahle thina ngapha ekzn ,negative
ze kuyaphuthuma ≡ƒÿé≡ƒÿé ,positive
"rsa nakanjani its about time icamagu livumile, uthixo uvumile konke ke kuza hamba kakhle≡ƒÑ│≡ƒÑ│≡ƒÑ│ ",negative
"jobe ubevele ephapha ave bezithanda izindaba zase kzn, ubedabukisa la edliwa usars engasasebenzi ethule ngath ufile, akukapheli neviki ethylene umsebenzi useyaphapha ",negative
ayikho ngempela ≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡≡ƒÿ⌐≡ƒÿ⌐≡ƒÿ⌐≡ƒÆÇ ,negative
fel ≡ƒÆ» yeyi izilwane ngempela futhi ,positive
bangawubona live umshado kagogo wabo ≡ƒñ₧≡ƒÅ╛ ,positive
nx usho ukuthi amasi abekwe elangeni zwide ≡ƒÿé≡ƒÿé≡ƒÿé ,positive
≡ƒÿìai kodwa bakithi Γ¥ñ umuhle babes ,positive
lola cant go to a picnic manje without the brown robes ≡ƒÿé ,positive
"tomorrow is another stressful day for a building club this mythology will never end the building process has never worked ask ajax cape town, building from young players and later snatched by big spenders blom is gone and who else is following thina sizwa ubuhlungu dstvprem ",negative
umbatha kuyala uhlangana ngempilo yakhe shame atleast unokuvuka kancane kuhlezi kubheda ngathi mpilo yami ,positive
mabhanisi is so fresh bakithi i can hold her tight and fall asleep lulubel uyamdlala u lets keep it between us ≡ƒÿü≡ƒÿìΓ¥ñ∩╕Å ,negative
impahla iphelele≡ƒñºΓÿò≡ƒÿà ,positive
"ba2 when you watch from twitter you became a toxic man ,i fear for your women shame indoda ingena izinto zabantu besifazane ayifuneki ",negative
"madvibes12 nigga cool down doc shebeleza is known in those places too even in london bayaz aka doesnΓÇÖt have a song as big as doc shebeleza khohlwa,doc shebeleza is there chilling by sista betina and they both the list streamed songs ",negative
"hawa bakithi these kids, they eat from the moment they come back from school until itΓÇÖs time to sleep ≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡, and that time they ate at school, they are finishing the groceries, hayi khona ",negative
"foundation if no party has asked for a full bench then who consulted with djp cause they said after consultation with the djp kancane lejudiciary iyavela nokuchema kwayo, first it was npa which lied unprovoked now its jusiciary ujz keeps exposing them and kancane bayavela labodoti≡ƒÜ«≡ƒÜ« ",negative
mancobatsiki12 lukhele music nelz crocs ndanda m senkhosi nezisa dlamini xavi maanda ubuhlungu lomuntfu ,negative
umsebenzi ukhula njalo kodwa iholo lisame lapho ,neutral
≡ƒÿé≡ƒÿé≡ƒÿé ukhozifm kuthiwa indoda ye ticktoc ayitholanga lutho ≡ƒÿé≡ƒÿé≡ƒÿé ,negative
solo basitsatsa kancane≡ƒÿÅ ,positive
abantu besifazane abanye bayingozi please retweet so that amaphoyisa ezothola umawengane udinga ukuboshelwa attempted murder ,negative
inkinga yabo ukuthi bazala izingane bengekho ready abazali night stand ngeshwa unlearn nonsense engcwele emakhanda ayikho wrong ngokuthi present father isizwe sakhiwe abantu abanjenganawe ,negative
we have to change everything thats undoing josework starting by those that dont even make 18man squad n then we will trim it kancane kancane ,negative
ngibona indlela owazi ngayo abantu kuthi uyakwazi kunjani ukuswela qhubeka njalo ungayeki ,positive
long legs clements mina uyangcika losathane omenza aqambe amanga ≡ƒÿ⌐≡ƒÿ¡ ,negative
sicelo mhlanga hayibo hayibo≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú kuyini manje lokhu ,positive
m4g3nts and ibuhlungu mpondo ,negative
ko manje singenaphi thina lapho ,neutral
"youthoftsomo one of the shops zabo my friend aka phatanga iphone ne bag, she couldnt talk properly obviously she was still scared so i got there, me intwana yami and some two guys ekasi sibabhiza ngabo vundras and yes sbuda i carry a licensed fire arm but amajita i dont know ukuthi ezabo zi ",positive
akekho okubuzile cabanga≡ƒæì≡ƒÅ╛ ,positive
yho ndingamnika yonke ,neutral
ey udla kamnandi bru sekuzoba yintombi yesingaki manje leyo ≡ƒñ╖≡ƒÅ╜ΓÇìΓÖé∩╕Å ,negative
aqede angenzi lutho alibale ukwanda ngomlomo ≡ƒÿÆ ,negative
muphi unandi manje ,neutral
"blackzn you just typed my list sisi, i hate amanga ",negative
sphe ≡ƒñú kwenzakalani manje la ,positive
expectations wabo dar phezulu hygiene buying toiletries moisturize izindunu zabo self care whatsoever ubeke wena ,positive
ngicela ungshada sphe≡ƒÄë ,positive
"inkinga ikuwena no fault here intombi iyasina, umthwebuli wenza umsebenzi wakhe manje ke ikuphi inkinga ",negative
ubukhosi ubukhulu kangaka bu high jakhwe ama freemason in front of our eyesmkhulu nsingiza live now ,positive
bakithi bakhona abaright asa ,positive
seniyahlanya manje bbtitans ,negative
"azania1023 asiyoyiki imigodoyi kacongolose , zizonke lezinto sazifaka ngephutha lokwethemba lomdayisi osemalini yomzansi , lona okhulumayo ozimoshele okosana oluqhumisa asimgqizi qakala nje ",negative
zyakhala manje zikhala ngempela cityofjoburgcouncil ≡ƒÖåΓÇìΓÖÇ≡ƒÖè≡ƒÿ¥≡ƒÿé ,positive
26 silambile isizwe lol ,positive
imali phambili ,positive
utshwala bange wekend ≡ƒÿ⌐ angsabufuni ≡ƒÿó ,negative
ribz rb inganekwane ,negative
n is for ngiyazi ukuthi ungenza islima ,negative
ufuna sithini ngempela ≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ ,negative
eff ayivumi ukuthi kudlawe ngathi this year ≡ƒñú≡ƒÿé sona2023 ,positive
xo inganekwane ≡ƒÆÖplease like comment when you see it≡ƒÖÅ≡ƒÿÿ ,negative
umbono sikushayela ihlombe okwenziwe yinkosi yesizwe ,negative
sizofika kodwa iskhathi lapha sizokhathala khona singabantu base south africa abantu bangaphandle abasithathi serious okwangempela angibhebhezeli udlame against them but on a serious note abasiboni ,negative
makoti material ≡ƒÿì≡ƒÿìngicela ukuletha izinkomo≡ƒÿà ,positive
chaza mina ngingenaphi≡ƒÑ║≡ƒÿé ,positive
kukhona okushaya amanzi la ,positive
good music brought to you by entertainement ≡ƒÖî≡ƒÅ╛≡ƒöÑ umshado is now out on all digital platforms ,positive
adnayul ske utsho uba ulambile ill make a plan ,positive
"za awuzibambe kancaneΓÇª have u even seen his timeline hai babes, hairespect yourself tu ",positive
smolan nationwidewebsite yakwa smolan umsebenziwebsite sign option screningrequirementsmatriclick website write screning test contact pasedno closing date ,negative
zama ey yabona abazali nokungena izindaba zabantu abadala ≡ƒñó≡ƒÿ¡ ,negative
ngifake earphones listening music ngibuka ≡ƒÿ¡≡ƒñú umgowo ,negative
vandal707 angaz ngempela ngangizixakelani ngecorona all along≡ƒÿ⌐ ,positive
siyabonga koti omuhle muna usebenze kahle uhlonipha umsebenzi wakho gudluck endeavors ,positive
you should have plugged us ngonov besizoloke siqongelela kancane kancane ≡ƒÑ║ ,positive
yabona madlamini kune ngoma umjikijelwa ethi angilazi icala lami ≡ƒÖî≡ƒÅ╛≡ƒÖî≡ƒÅ╛≡ƒÖî≡ƒÅ╛≡ƒñî≡ƒÅ╛≡ƒñî≡ƒÅ╛ cela thola skhathi uyiphe indlebe ,positive
"masihlangane ngomhlaka 6 february 2023 ebekkersdal hostel, njengoba umnyango wezempilo wasewest rand unilethela izinsiza zezempilo ",positive
udecember kaprofessor ngathola ukuthi umah uyasivuthela isbhaxu ≡ƒÖÅ≡ƒÅ╜≡ƒÖÅ≡ƒÅ╜ ,positive
cabanga ngoba 1 million naira r38000 ≡ƒñú≡ƒñúΓÇªcha mina kwi billion letottenham ngingahluleka ngizamile ,positive
adnayul ibuhlungu ke le ,negative
yhoo cabanga ≡ƒñú≡ƒñú≡ƒñú ,neutral
"sms sebs ngisho ukuthi, ngalendlela kumosheke ngakhona emphakathinama bylaws alwisana nepublic indecency akagcinwasimply no management consequences pertaining to transgression thereof ",negative
"ukhozi fm sivuka nodado whatsapp 071 613 6667 sibuza odado ukuthi uma kuthiwa bangakwazi ukushayela abazali babo umthetho usuku olulodwa, yimiphi leyo mithetho abangayishayela abazali babo ukhozifmvabs vabs ukhozifm ",negative
khohlwa usiphe ukhalela cream wakhe ≡ƒÿé wena themba mina ,positive
"s malema speakslife ramaphosa akayi ndawo khohlwa he defeated you in the anc and dismissed you, nothing will change ",negative
kanti nishuda ncunu madoda ≡ƒÖå≡ƒÅ╜ΓÇìΓÖé kancane niyavela ,positive
"ngicela ningibuzele yena ukuth ujola noban, ngifuna ukbona uzosho mina yini ",negative
"ey smeg mana kancane bafo, konke kuyasebenza nje ekhanda a concerned citizen asking ",negative
u everyone yhimi≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ am everyone bakithi that song makes me go crazy cho25 ,negative
sphe lutho ≡ƒÿé≡ƒÿé≡ƒÿé this one makes me want to sleep ≡ƒÿé≡ƒÿé≡ƒÿ¡≡ƒÿ¡ ,negative
fm p ulibolokuqala ukhozifm unjani phindi bengisacela ukukhulekela lentsha egcwele umona nenzondo engingakwazi ngempela ukuthi konke kezinto zisukaphi umuntu emncane esakhula abenenhliziyo embi ,negative
wait so the thief would rather risk getting setup by meeting his victim rather than just waiting for this customer he has found to sell lap top to kancane kancane uyavela wena ,negative
nolwazimnisi8 when you play spinazonke play with huge amount not 1rand izokudla not kancane ,positive
ngicela ungipha ≡ƒÿè≡ƒæÉ ,positive
weh inganekwane ,negative
ay ngempela ,positive
fm ngicela ukufisela uskhanyiso dlamini wase ntuzuma f usuku oluhle lokuzalwa abenosuku olumnandi akulalwa ukhozifm ,positive
jenner amangasome of us are good guys ,negative
touch esikhulu ngempela ,positive
stemele ndigqibo phoxa omnye ezama uzenza fresh ngam kalok they like to show off ne content bakwayenza ngabantu nee likes umphume xa kulapo sometimes kufuneka ipeace uyiphumze and choose violence basile kakhulu umntu azoku hlonipha qha or block you rhaaa ,negative
elonmusk waw khuluma u msunu ,neutral
jhbwater niphuza amanzi anoblom ,neutral
mkoko yini inkinga manje≡ƒÿ¡≡ƒÿ¡≡ƒÿé ,negative
nanku umsebenzi ,neutral
lol ngilinde umshado manje oe ,positive
taking screenshots is literally watching life happen and you only witness it tshela mothowetsho ,negative
khohlwa soulmate find life partner life wait forever ,negative
mashasha no he is thumbezas son ushilo nje uthembeza that he had a thing with his mom ,positive
"rb gevaar,ingozi, kotsi my king a every serious onejust imagine people breaking up because of this stupid thing mxm ",negative
i chose ukuzithulela uma bembabaza umncanyana uathi shame kunamathekeni amahle la ngaphandle ,negative
bbtitans gqom ayikaze yafa guys ≡ƒÿ¡≡ƒöÑ ok malume ,negative
people say iΓÇÖm crazy when i tell them i hate chewing itΓÇÖs tiring bakithi≡ƒÿ¡ ,negative
"kgetho whether you like it or not, as black people we dont have strong culture of reading yet so, what point are objecting in every town,i visit libraries, and theyre mostly empty, but full of unread books black politics faded and disintegrated into inganekwane or just mere farce ",negative
"kingsfiso yinto ongayithandisisi, usually used for ukutya but ke pha phesheya kwenciba ndeva isetywnziswa nase bantwini ",negative
the comments ≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡kusekude la siya khona ≡ƒñ₧≡ƒÅ╛ ,negative
a sacela ikheli bakithi lol ,positive
106fm mhlobo wenene olusuku lisuka phi lento nilithanda kangaka ,positive
ngubeni mashele lo wama sabotage cabanga ,neutral
anita ekseni kangaka ≡ƒÿ½≡ƒÿ½ ,negative
21 ku lungile ,neutral
"za akuyena owakho uma ezikhathaza ngokuth ikhanda lakhe linjani,okubalulekile okuphakathi ≡ƒñ¥ theglenzitosuperdrive sona2023 ",negative
manje lojean≡ƒÿ¡ ,negative
"wena nje ulusana olulunyuliwe,isikhalo sakho ukhalela ibele angeke senze uphinde uncele futhi,ukhulile manje istambo sikulindile,harbor ngqusha njengabanye ",positive
wamnandi umvumo wenkolo fm ngikuvulele phezulu kumanje ngala eshowe mthombothi siditjhile ,positive
nkosi shebi manje you wish for that moment≡ƒÿé≡ƒÿé≡ƒÆÇ ,positive
kwawina i pirates bakhuluma nge chiefs kani beyidlala nani mine solo ngibuka ligoli la maart ,positive
cha inhlitiyo yami ibuhlungu shemΓ¥ñ∩╕ÅΓÇì≡ƒ⌐╣ ,negative
sisakulindile ≡ƒÿé≡ƒñú≡ƒñúkhokha ≡ƒÿé ,positive
i o ta tshela sente eddy banna ,neutral
jaytcoza ngicela isfebe bandla ≡ƒÖï≡ƒÿé ,positive
funda lapho sgqemeza ≡ƒñú babheka phezulu ≡ƒÿé ngaze ngahleka  lekseni ,positive
yindaba iyΓÇÖmoto zilibele zishona phambili kancane kodwa i robot livaliwe ,positive
phela lapho ukhuluma nge emergency ephuthuma very fast fastmali yakho ihlezi ikhona asilenzi iphutha lapho ngwane ,negative
gumede ni ku yenzeni mina manje o nthuka ,neutral
"hayi cha kodwa nawe oe, awusakhumbuli noma ujehova bakithi Γÿ╣∩╕Å ",negative
sesphelile iskhathi sakhe ≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ ,positive
maye inhlamba engaka bakithi ,positive
sabc sport iyona le goalkeeper ye bafana bafana lekude phambili kuseduze emuva ,negative
"just gundy i remember last year, omunye asked me to give her money shed refund, namanje lutho ngagcina sengiykhohlwa nje indaba yayo since then no favors ",negative
destinyzee nzeft ngempela lezi≡ƒÑ║ ,positive
akenisyeke bakithi ngo when sjava said sasha ,positive
pumlankomo zulu maiden phumla ngisacela uphume kumadlokovu uzoduka ≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé kuthiwa ngena ngeoff ramp yasedokodweni angazi bakithi yena ubeka yini kulomuzi asebuya kuwo ≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé ,negative
ima kancane enathi ≡ƒÿ¡≡ƒÿé ,negative
zyakhala ngempela terrypheto ,positive
asizenzi inkinga yilama phone ,negative
"futhi as a person, zibuze ukuthi whyjust apply yourself kancane nje ",positive
"02 i listened to it, okunye ngami ukuthi i am not good with album reviewing ",negative
uzamile ngempela ≡ƒæÅ≡ƒÅ╜≡ƒæÅ≡ƒÅ╜≡ƒæÅ≡ƒÅ╜ ,positive
"si6usiso khuluma bafo, where can i get this mtakababa ",positive
juice lutho ,negative
hapy fridaygod morning mkhayanami ngnawe ngila phezulu ezintabeni zasemagudulet drive til nayiniskhumbuzo ngema kwampondo emagudu ,positive
uyamazi cash no deposit mailula ungazodlala ngo coach wena akadlali ibhola yena its 11 against 11 chief ≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé ,negative
i need this and a blentwood thatΓÇÖs hlezi lapho ,positive
cyrilramaphosa cant you people just do that thing there at fnbstadium nihlukane nokumosha imali engekho hhay niyadina mara nani ,negative
rugbydan carter 2015 rwc knockoutssiya kolisi 2021 second test vs the bampi lions jonah lomu 1995 rwc semi vs englandbryan habana 07 rwclukhanyo am vs all blacks 2022 ,negative
6 songs umshado ,positive
"no, its not you know what mhlonitshwa, kuningi kabi okufihliwe ngomlando wethu thina sizwe sikantu koda konke sekuya lunga kancane kancane ",negative
youre part of the problem inkinga yenu instead of engaging and probing izinto nigijimela ukuba rude and take disrespectful tones with people youre part of the problem have a nice day ,negative
diepcitymzansi bonga jele and lungile where are they going to fourways or steyn city ,negative
"zeus 883 nix ngeke ngithathe sisi, uma wonile uyaxolisa impilo uye phambili than to hide ",negative
damn he took this holy ghost thing way too serious ≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé but bayalayeka akabasuzele kakhulu ,positive
nyikooop cabanga≡ƒÿé≡ƒÿé≡ƒÿé ,positive
niright bakhona nani abenu ukuthi nje phelakeΓÇª ,positive
"seven days war in pmb edendale, kwashobashobane ezingolweni, shellyhouse kodwe qhubeka umthandaze lomkhulu ",positive
kimani kanty nanishadelani≡ƒñ╖≡ƒÅ╜ΓÇìΓÖÇ∩╕Å≡ƒÖäniyaphapha inkinga nifunana nezinqa nama looks kunixake ekuqcineni ,negative
"one of my colleagues uyakwazi ukuΓÇÖkhuluma neΓÇÖphone i think she spends about 4 hours on the phone on average everyday yoh ha uyaxoxa nangu umuntu, the funniest thing after every phone call she has to brief me ukuthi mekuthiwani ≡ƒÆÇ but idk all these people≡ƒÿé ",positive
ngwane inkinga nina umjolo niyawu owner≡ƒÿÅ ,positive
"indlala ibanga ulaka bafo, we are not used to this situation hence the behavior, and the rationality of the behavior is totally dependent on the point of viewΓÇª ",negative
"cha, izitha zam zingbekile ",negative
mfundopraise inkinga awΓÇÖnaso istezi wena ,negative
phuthuma ≡ƒÿé≡ƒÿé≡ƒÿé ,positive
gawk at me all you like ukuthi sihlulwa yi supper date at spur if i am watering things down ,neutral
lebogang nguwe okhuluma amanga we cant be both wrong ,negative
"cabanga, ntombi≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ ",negative
ngempela bafo angikwazi kufike ngikuncenge ngisakushela sekumele futhi ngikucengeke sesikwi relationship futhi ngeke ,positive
v anikabi umlotha ≡ƒÿé≡ƒÿé≡ƒÿé ,positive
"into endi dikayo mna with such depression and anxiety people is that, baqale bageze then a few days down the line we have such tweets ugezile ku la tweet yakhe ngo siya kolisi shame, khange tu ndibena sizi when i saw his tweets izolo ",positive
breaking news alegedly ingonyama umisuzulu kazwithini iyobusiswa unyazilwezulu ngokuphelele iyasho incwadi engcwele ithi sekufikile okuphelele okungaphelele kuyaphela save date november ,negative
"same bestie, same ngikhathele angisafuni lutho itΓÇÖs the fact that even now, i still need to have resilience to get through my days itΓÇÖs enough now≡ƒñ₧≡ƒÅ╛ ",negative
"north absolutely goated north ≡ƒÖî stand a chance to win great prizes this summer, all you have to do is activate any of the trending tunes belowΓÇï1 sponono 19032 ΓÇï2 umsebenzi wethu 19038 ΓÇï3 too late for mama 19042 tsh ",negative
happybirthday ngicela ukufisela reginald vusi nyathi usuku oluhle lokuzalwa usebenza e beagle watch security fm ,negative
ngiyi tholile nina ≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ ,negative
"abafazi abashadile baqala ukufeba kwathina singakazalwa, inkinga manje sekwenziwa noma kanjani ",negative
ngicela ningipha u2milyoni ,positive
iqiniso ngeke uthi usuthi ube ulambile ,positive
nakindaba team yakho engekho final ,positive
"lmaoooo i wont lie, crying helps but ave uthatheka kancane ngoba kthiwa vele uyatetema ≡ƒÿ⌐ ",positive
iyadingeka ngempela ≡ƒñ₧ ,positive
"koko matshela i watched this video over and over trying to figure it, haykhona lutho≡ƒÿ¼ ",negative
zooloeman lol bengithi syahlobisa ,positive
"cant have 1 mama, rather 2 should uphele umjolo you still sorted and have side chick njalo but never promote it bese ufuna another mama to replace lo ose hambile, ukuthi lento needs time planning kahle ",negative
kuthiwa they are conflicted ≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ ,negative
sizabona namhla ngabo ukuthi ubuyekile ngempela ,positive
into endiyazio mna intombi iqalwa ngamanga ukshelwandikhula nje kunjalole yenyani and staff zisuka nje≡ƒñö hay andiyaz but im not saying its wrong or whatever ,negative
"lutho kanti, into enhle kabi ",negative
masandawana masandawana benihleli phezulu ,positive
ngicela invyt ,neutral
bye bonga inkinga uzithanda too much wena ,negative
"khozaa kunzima after doing that they still complain no thank you,im blessed to have a man like you lutho afuthe ubuso nje like really one of my male collegues does everything for kids gave baby mama car so kids wont struggle amp she complain coz he forgot rubber for stationary doti ",negative
amajita asuke ehappy maye wodwa yazi≡ƒÑ╣≡ƒÿé inkinga yilaba abanye nje ,negative
khululeka itype zakho zapha ezinyoka ≡ƒæì≡ƒÅ╝ ,positive
lmfao mina bengithi you blocked me or deactivated ≡ƒñú≡ƒñú≡ƒñúill nevrt stop being your number 1 hater ≡ƒÖéΓ¥ñ∩╕Å ,negative
this tweet and your handle lo busy siya ,positive
every chance juicy jay gets he wants yvonne lips ≡ƒÿékancane kancane bbtitans ,negative
sekusele kancane uphele umsebenz wakho msononly month away ,positive
mduduzidlamini9 foundation asilungise isizulu nje kuqali asikho isisho esithi ukhule ungakhokhobi esizulwini ningasimosheli isizulu sethu kuthiwa ukhule ukhokhobe abenzanga iphutha lapho abadala amen ,negative
msibi and jojo ≡ƒÿ⌐ kanti senzeni kangaka ≡ƒÿá ,negative
≡ƒñú≡ƒñú≡ƒñú hawu bakithi ekseni kanje ≡ƒÿ¡ ,negative
siyawazi amanga wakho ,negative
impi ≡ƒñú ≡ƒñú ≡ƒñú ,negative
independentgel bazothi senza kakhulu≡ƒÖå≡ƒÅ┐ΓÇìΓÖé∩╕Å ,positive
we design and build amazing houses ≡ƒæî≡ƒæîmalema ramaphosa zuma anc nec pep lesufi paul osullivan sakina trevornoahliveinsa phala phala zondo zolani joburg nota grade 12 dischem inganekwane lenyalolethata eskom soweto amapolo xrepo jub jub barcadi brics ,positive
"zn mina bengithi abakufake nomonada, nota, no aka uzokwazi nawe phela ukuahaya iwarm up before april ",negative
≡ƒöÑ≡ƒöÑ≡ƒöÑ≡ƒöÑ≡ƒöÑ≡ƒöÑim trynna go up 25k rsa im trynna go phezulu phezulu sukendleleniamaphoyisa mesimisa akunandaba i bribe iningi≡ƒöÑ≡ƒöÑ≡ƒöÑ≡ƒöÑ≡ƒöÑ sawfside ,positive
ubuye engekho still ,negative
hahahahahahaha nakikita ko siya sa montecarlo neng ,positive
time that you think this disaster has anything to do with islungu is deeply problematic kush ukuthi nawe uyinganekwane ,negative
seed9 i uae yenye ye countries ezine economy enkulu e middle east and has the largest number of foreigners lento ithetha ukuthi ama foreigner akayibulali i economy yelizwe ,positive
thule yonke lento would be easier if you had indoda in your life ≡ƒñú ,positive
"leyo few days,kufike thina zinja simthathe obebizi ngempela manje≡ƒñú≡ƒñú ",positive
we dont dispute this ukuthi yena uyaphapha ,positive
ngempela ≡ƒÿé ,positive
"dear men,if you want to lead a happy life in relationships you must never datemarry or impregnate a stubborn woman who does not have a teachable spirit youΓÇÖll be very frustrated ≡ƒÿô botsisa rona bo papzen mankaeza sizoktshela ",negative
ekare ba tshela potter 50 gore todd le behdad ba thanye babbtle coach ya nnete ,positive
ndembu dlala malume wayidedela asiyilutho ngaphandle kwakhho ,negative
weeh ay uphupha ngempela wena ,positive
tjooo zyakala manje ,positive
tshela dom gare mahlo robale ,neutral
but kim lutho ,negative
mmm they so boring jehova ≡ƒÿ¡ effort zero but umbhede phambili ,negative
angikwazi ≡ƒÆÇ kodwa ke surely i can find someone ukuthi i want a record of service history ,negative
